X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.590000, -0.589750, -0.000000, 0.300000, SAFE, 43338.569495, 23392.763672, 2, 2036
-0.465000, -0.464750, -0.000000, 0.300000, SAFE, 41070.096675, 22883.644531, 1, 1750
-0.465500, -0.465250, -0.000000, 0.300000, SAFE, 41313.567793, 22921.285156, 1, 1750
-0.464250, -0.464000, -0.000000, 0.300000, SAFE, 41360.358919, 23002.558594, 1, 1750
-0.464750, -0.464500, -0.000000, 0.300000, SAFE, 41278.810035, 22915.011719, 1, 1750
-0.462250, -0.462000, -0.000000, 0.300000, SAFE, 41066.082090, 22820.011719, 1, 1750
-0.463500, -0.463250, -0.000000, 0.300000, SAFE, 41379.172807, 23044.203125, 1, 1750
-0.465750, -0.465500, -0.000000, 0.300000, SAFE, 41639.601133, 23046.906250, 1, 1750
-0.463250, -0.463000, -0.000000, 0.300000, SAFE, 41401.684978, 23308.916016, 1, 1750
-0.464000, -0.463750, -0.000000, 0.300000, SAFE, 41260.840032, 22991.927734, 1, 1750
-0.462750, -0.462500, -0.000000, 0.300000, SAFE, 41307.440253, 22904.230469, 1, 1750
-0.463750, -0.463500, -0.000000, 0.300000, SAFE, 41086.610776, 22802.984375, 1, 1750
-0.463000, -0.462750, -0.000000, 0.300000, SAFE, 41093.740301, 22791.785156, 1, 1750
-0.466000, -0.465750, -0.000000, 0.300000, SAFE, 41053.916350, 22918.353516, 1, 1750
-0.464500, -0.464250, -0.000000, 0.300000, SAFE, 41248.090018, 23057.562500, 1, 1750
-0.465250, -0.465000, -0.000000, 0.300000, SAFE, 41105.259596, 22843.644531, 1, 1750
-0.462500, -0.462250, -0.000000, 0.300000, SAFE, 41167.993582, 22922.390625, 1, 1750
-0.539250, -0.539000, -0.000000, 0.300000, SAFE, 36957.770333, 20087.742188, 1, 1788
-0.542250, -0.542000, -0.000000, 0.300000, SAFE, 36761.307024, 19923.105469, 1, 1788
-0.548000, -0.547750, -0.000000, 0.300000, SAFE, 37126.729135, 20107.501953, 1, 1807
-0.547000, -0.546750, -0.000000, 0.300000, SAFE, 37123.801206, 20081.898438, 1, 1807
-0.541250, -0.541000, -0.000000, 0.300000, SAFE, 36871.675797, 19942.408203, 1, 1788
-0.539750, -0.539500, -0.000000, 0.300000, SAFE, 37211.181806, 20007.994141, 1, 1788
-0.543250, -0.543000, -0.000000, 0.300000, SAFE, 36715.478368, 19893.042969, 1, 1788
-0.540000, -0.539750, -0.000000, 0.300000, SAFE, 36606.697002, 19714.929688, 1, 1788
-0.543750, -0.543500, -0.000000, 0.300000, SAFE, 36628.101381, 19821.839844, 1, 1788
