X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.549350, -0.549300, 0.500000, 2.000000, NONE, , , , 
-0.549850, -0.549800, 0.500000, 2.000000, NONE, , , , 
-0.549750, -0.549700, 0.500000, 2.000000, NONE, , , , 
-0.549400, -0.549350, 0.500000, 2.000000, NONE, , , , 
-0.549800, -0.549750, 0.500000, 2.000000, SAFE, 65700.322453, 35249.125000, 3, 1957
-0.549500, -0.549450, 0.500000, 2.000000, SAFE, 66363.407313, 35698.753906, 3, 1957
-0.549950, -0.549900, 0.500000, 2.000000, NONE, , , , 
-0.549250, -0.549200, 0.500000, 2.000000, SAFE, 66017.704041, 35614.851562, 3, 1957
-0.549150, -0.549100, 0.500000, 2.000000, SAFE, 65783.887046, 35338.996094, 3, 1957
-0.549450, -0.549400, 0.500000, 2.000000, NONE, , , , 
-0.549900, -0.549850, 0.500000, 2.000000, NONE, , , , 
-0.549650, -0.549600, 0.500000, 2.000000, NONE, , , , 
-0.550000, -0.549950, 0.500000, 2.000000, SAFE, 66074.754595, 35304.144531, 3, 1957
-0.468750, -0.468500, 0.500000, 2.000000, SAFE, 62639.758757, 33732.617188, 2, 1830
-0.460500, -0.460250, 0.500000, 2.000000, SAFE, 61832.296208, 33399.863281, 1, 1808
-0.465250, -0.465000, 0.500000, 2.000000, SAFE, 62292.003681, 33770.433594, 2, 1830
-0.461750, -0.461500, 0.500000, 2.000000, SAFE, 62854.123317, 34140.222656, 2, 1830
-0.473750, -0.473500, 0.500000, 2.000000, SAFE, 62121.606191, 33601.351562, 1, 1829
-0.466750, -0.466500, 0.500000, 2.000000, SAFE, 62631.204042, 33998.476562, 2, 1830
-0.461500, -0.461250, 0.500000, 2.000000, SAFE, 62047.821911, 33494.437500, 2, 1830
-0.466500, -0.466250, 0.500000, 2.000000, SAFE, 62554.573469, 33905.328125, 2, 1830
-0.474250, -0.474000, 0.500000, 2.000000, SAFE, 62797.288390, 34072.804688, 1, 1829
-0.472000, -0.471750, 0.500000, 2.000000, SAFE, 63353.060880, 34329.312500, 2, 1830
-0.463750, -0.463500, 0.500000, 2.000000, SAFE, 62616.126482, 33932.183594, 2, 1830
-0.470500, -0.470250, 0.500000, 2.000000, SAFE, 62765.680981, 34041.398438, 2, 1830
-0.462250, -0.462000, 0.500000, 2.000000, SAFE, 62450.426346, 33831.535156, 2, 1830
-0.467500, -0.467250, 0.500000, 2.000000, SAFE, 62379.390527, 33818.894531, 2, 1830
-0.469500, -0.469250, 0.500000, 2.000000, SAFE, 62429.062309, 34003.300781, 2, 1830
-0.468500, -0.468250, 0.500000, 2.000000, SAFE, 62683.422214, 34077.734375, 2, 1830
-0.470750, -0.470500, 0.500000, 2.000000, SAFE, 62485.885625, 33936.015625, 2, 1830
-0.471750, -0.471500, 0.500000, 2.000000, SAFE, 62941.732626, 33938.253906, 2, 1830
-0.470250, -0.470000, 0.500000, 2.000000, SAFE, 62439.432103, 33932.273438, 2, 1830
-0.470000, -0.469750, 0.500000, 2.000000, SAFE, 62812.872159, 33944.691406, 2, 1830
-0.471500, -0.471250, 0.500000, 2.000000, SAFE, 62688.264067, 33956.640625, 2, 1830
-0.467250, -0.467000, 0.500000, 2.000000, SAFE, 62540.255962, 33831.929688, 2, 1830
-0.469250, -0.469000, 0.500000, 2.000000, SAFE, 62504.264890, 33833.992188, 2, 1830
-0.465750, -0.465500, 0.500000, 2.000000, SAFE, 62301.663610, 33693.136719, 2, 1830
-0.462750, -0.462500, 0.500000, 2.000000, SAFE, 62583.536025, 33797.292969, 2, 1830
